Year,Ranking,Series,"NIPA Table 2.9, Line Number",Quantile or Summary Metric,Value
2000,Equivalized Personal Income,Compensation of employees,23,70-80%,0.1387
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24,70-80%,0.0638
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,70-80%,0.1035
2000,Equivalized Personal Income,Household income receipts on assets,26,70-80%,0.0893
2000,Equivalized Personal Income,Household interest income,27,70-80%,0.0917
2000,Equivalized Personal Income,Household dividend income,28,70-80%,0.0829
2000,Equivalized Personal Income,Household current transfer receipts,29,70-80%,0.0749
2000,Equivalized Personal Income,Government social benefits,30,70-80%,0.0717
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31,70-80%,0.1146
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,70-80%,0.1224
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,70-80%,0.1454
2000,Equivalized Personal Income,Household income,22,70-80%,0.1145
2000,Equivalized Personal Income,Personal income,1,70-80%,0.1145
2000,Equivalized Personal Income,Taxes,12,70-80%,0.1017
2000,Equivalized Personal Income,Disposable personal income,13,70-80%,0.1166
2000,Equivalized Personal Income,Compensation of employees,23,80-90%,0.1754
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24,80-90%,0.1199
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,80-90%,0.1336
2000,Equivalized Personal Income,Household income receipts on assets,26,80-90%,0.1384
2000,Equivalized Personal Income,Household interest income,27,80-90%,0.1371
2000,Equivalized Personal Income,Household dividend income,28,80-90%,0.1418
2000,Equivalized Personal Income,Household current transfer receipts,29,80-90%,0.069
2000,Equivalized Personal Income,Government social benefits,30,80-90%,0.0647
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31,80-90%,0.1493
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,80-90%,0.1107
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,80-90%,0.1849
2000,Equivalized Personal Income,Household income,22,80-90%,0.1491
2000,Equivalized Personal Income,Personal income,1,80-90%,0.1493
2000,Equivalized Personal Income,Taxes,12,80-90%,0.1594
2000,Equivalized Personal Income,Disposable personal income,13,80-90%,0.1476
2000,Equivalized Personal Income,Compensation of employees,23,90-100%,0.298
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24,90-100%,0.7145
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,90-100%,0.3442
2000,Equivalized Personal Income,Household income receipts on assets,26,90-100%,0.554
2000,Equivalized Personal Income,Household interest income,27,90-100%,0.534
2000,Equivalized Personal Income,Household dividend income,28,90-100%,0.6091
2000,Equivalized Personal Income,Household current transfer receipts,29,90-100%,0.0771
2000,Equivalized Personal Income,Government social benefits,30,90-100%,0.0663
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31,90-100%,0.353
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,90-100%,0.1358
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,90-100%,0.2667
2000,Equivalized Personal Income,Household income,22,90-100%,0.3516
2000,Equivalized Personal Income,Personal income,1,90-100%,0.3527
2000,Equivalized Personal Income,Taxes,12,90-100%,0.5552
2000,Equivalized Personal Income,Disposable personal income,13,90-100%,0.3189
2000,Equivalized Disposable Personal Income,Compensation of employees,23,0-10%,0.0118
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,0-10%,-0.0033
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,0-10%,0.0247
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26,0-10%,0.0088
2000,Equivalized Disposable Personal Income,Household interest income,27,0-10%,0.0106
2000,Equivalized Disposable Personal Income,Household dividend income,28,0-10%,0.004
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29,0-10%,0.0775
2000,Equivalized Disposable Personal Income,Government social benefits,30,0-10%,0.0764
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,0-10%,0.0183
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,0-10%,0.1466
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,0-10%,0.0122
2000,Equivalized Disposable Personal Income,Household income,22,0-10%,0.0187
2000,Equivalized Disposable Personal Income,Personal income,1,0-10%,0.018
2000,Equivalized Disposable Personal Income,Taxes,12,0-10%,0.0022
2000,Equivalized Disposable Personal Income,Disposable personal income,13,0-10%,0.0207
2000,Equivalized Disposable Personal Income,Compensation of employees,23,10-20%,0.0271
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,10-20%,0.0026
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,10-20%,0.0423
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26,10-20%,0.0111
2000,Equivalized Disposable Personal Income,Household interest income,27,10-20%,0.0128
2000,Equivalized Disposable Personal Income,Household dividend income,28,10-20%,0.0065
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29,10-20%,0.1152
2000,Equivalized Disposable Personal Income,Government social benefits,30,10-20%,0.1206
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,10-20%,0.0336
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,10-20%,0.0481
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,10-20%,0.0283
2000,Equivalized Disposable Personal Income,Household income,22,10-20%,0.0339
2000,Equivalized Disposable Personal Income,Personal income,1,10-20%,0.0339
2000,Equivalized Disposable Personal Income,Taxes,12,10-20%,0.0072
2000,Equivalized Disposable Personal Income,Disposable personal income,13,10-20%,0.0383
2000,Equivalized Disposable Personal Income,Compensation of employees,23,20-30%,0.0376
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,20-30%,0.005
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,20-30%,0.0537
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26,20-30%,0.0166
2000,Equivalized Disposable Personal Income,Household interest income,27,20-30%,0.0189
2000,Equivalized Disposable Personal Income,Household dividend income,28,20-30%,0.0104
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29,20-30%,0.1277
2000,Equivalized Disposable Personal Income,Government social benefits,30,20-30%,0.1317
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,20-30%,0.0429
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,20-30%,0.0944
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,20-30%,0.0385
2000,Equivalized Disposable Personal Income,Household income,22,20-30%,0.0432
2000,Equivalized Disposable Personal Income,Personal income,1,20-30%,0.0429
2000,Equivalized Disposable Personal Income,Taxes,12,20-30%,0.0123
2000,Equivalized Disposable Personal Income,Disposable personal income,13,20-30%,0.048
2000,Equivalized Disposable Personal Income,Compensation of employees,23,30-40%,0.0505
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,30-40%,0.0091
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,30-40%,0.0616
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26,30-40%,0.0249
2000,Equivalized Disposable Personal Income,Household interest income,27,30-40%,0.0279
2000,Equivalized Disposable Personal Income,Household dividend income,28,30-40%,0.0165
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29,30-40%,0.1288
2000,Equivalized Disposable Personal Income,Government social benefits,30,30-40%,0.1335
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,30-40%,0.0526
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,30-40%,0.0726
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,30-40%,0.0518
2000,Equivalized Disposable Personal Income,Household income,22,30-40%,0.0529
2000,Equivalized Disposable Personal Income,Personal income,1,30-40%,0.0528
2000,Equivalized Disposable Personal Income,Taxes,12,30-40%,0.0199
2000,Equivalized Disposable Personal Income,Disposable personal income,13,30-40%,0.0583
2000,Equivalized Disposable Personal Income,Compensation of employees,23,40-50%,0.0667
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,40-50%,0.0197
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,40-50%,0.0712
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26,40-50%,0.0374
2000,Equivalized Disposable Personal Income,Household interest income,27,40-50%,0.0403
2000,Equivalized Disposable Personal Income,Household dividend income,28,40-50%,0.0294
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29,40-50%,0.1188
2000,Equivalized Disposable Personal Income,Government social benefits,30,40-50%,0.1224
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,40-50%,0.0641
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,40-50%,0.0733
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,40-50%,0.0694
2000,Equivalized Disposable Personal Income,Household income,22,40-50%,0.0643
2000,Equivalized Disposable Personal Income,Personal income,1,40-50%,0.0643
2000,Equivalized Disposable Personal Income,Taxes,12,40-50%,0.0313
2000,Equivalized Disposable Personal Income,Disposable personal income,13,40-50%,0.0698
2000,Equivalized Disposable Personal Income,Compensation of employees,23,50-60%,0.0885
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,50-60%,0.0256
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,50-60%,0.0769
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26,50-60%,0.0525
2000,Equivalized Disposable Personal Income,Household interest income,27,50-60%,0.0566
2000,Equivalized Disposable Personal Income,Household dividend income,28,50-60%,0.0415
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29,50-60%,0.1006
2000,Equivalized Disposable Personal Income,Government social benefits,30,50-60%,0.102
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,50-60%,0.078
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,50-60%,0.0824
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,50-60%,0.092
2000,Equivalized Disposable Personal Income,Household income,22,50-60%,0.0781
2000,Equivalized Disposable Personal Income,Personal income,1,50-60%,0.0781
2000,Equivalized Disposable Personal Income,Taxes,12,50-60%,0.0486
2000,Equivalized Disposable Personal Income,Disposable personal income,13,50-60%,0.083
2000,Equivalized Disposable Personal Income,Compensation of employees,23,60-70%,0.1107
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,60-70%,0.0398
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,60-70%,0.0899
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26,60-70%,0.066
2000,Equivalized Disposable Personal Income,Household interest income,27,60-70%,0.0691
2000,Equivalized Disposable Personal Income,Household dividend income,28,60-70%,0.0576
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29,60-70%,0.0893
2000,Equivalized Disposable Personal Income,Government social benefits,30,60-70%,0.0887
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,60-70%,0.0935
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,60-70%,0.0987
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,60-70%,0.1157
2000,Equivalized Disposable Personal Income,Household income,22,60-70%,0.0936
2000,Equivalized Disposable Personal Income,Personal income,1,60-70%,0.0935
2000,Equivalized Disposable Personal Income,Taxes,12,60-70%,0.0696
2000,Equivalized Disposable Personal Income,Disposable personal income,13,60-70%,0.0975
2000,Equivalized Disposable Personal Income,Compensation of employees,23,70-80%,0.1372
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,70-80%,0.0603
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,70-80%,0.1034
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26,70-80%,0.0904
2000,Equivalized Disposable Personal Income,Household interest income,27,70-80%,0.0934
2000,Equivalized Disposable Personal Income,Household dividend income,28,70-80%,0.0819
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29,70-80%,0.0831
2000,Equivalized Disposable Personal Income,Government social benefits,30,70-80%,0.0805
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,70-80%,0.1147
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,70-80%,0.1203
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,70-80%,0.1433
2000,Equivalized Disposable Personal Income,Household income,22,70-80%,0.1146
2000,Equivalized Disposable Personal Income,Personal income,1,70-80%,0.1145
2000,Equivalized Disposable Personal Income,Taxes,12,70-80%,0.1014
2000,Equivalized Disposable Personal Income,Disposable personal income,13,70-80%,0.1168
2000,Equivalized Disposable Personal Income,Compensation of employees,23,80-90%,0.1739
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,80-90%,0.1214
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,80-90%,0.1385
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26,80-90%,0.1387
2000,Equivalized Disposable Personal Income,Household interest income,27,80-90%,0.1367
2000,Equivalized Disposable Personal Income,Household dividend income,28,80-90%,0.1443
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29,80-90%,0.0735
2000,Equivalized Disposable Personal Income,Government social benefits,30,80-90%,0.0694
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,80-90%,0.1493
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,80-90%,0.1149
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,80-90%,0.1833
2000,Equivalized Disposable Personal Income,Household income,22,80-90%,0.1491
2000,Equivalized Disposable Personal Income,Personal income,1,80-90%,0.1492
2000,Equivalized Disposable Personal Income,Taxes,12,80-90%,0.1586
2000,Equivalized Disposable Personal Income,Disposable personal income,13,80-90%,0.1477
2000,Equivalized Disposable Personal Income,Compensation of employees,23,90-100%,0.296
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,90-100%,0.7197
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,90-100%,0.338
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26,90-100%,0.5535
2000,Equivalized Disposable Personal Income,Household interest income,27,90-100%,0.5337
2000,Equivalized Disposable Personal Income,Household dividend income,28,90-100%,0.608
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29,90-100%,0.0855
2000,Equivalized Disposable Personal Income,Government social benefits,30,90-100%,0.0747
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,90-100%,0.3531
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,90-100%,0.1487
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,90-100%,0.2656
2000,Equivalized Disposable Personal Income,Household income,22,90-100%,0.3517
2000,Equivalized Disposable Personal Income,Personal income,1,90-100%,0.3528
2000,Equivalized Disposable Personal Income,Taxes,12,90-100%,0.5489
2000,Equivalized Disposable Personal Income,Disposable personal income,13,90-100%,0.3199
2000,Equivalized Household Income,Household Income,22,Mean (Nominal),79419.19
2000,Equivalized Household Income,Household Income,22,Mean ($2017),107582.01
2000,Equivalized Household Income,Household Income,22,Median (Nominal),54679.52
2000,Equivalized Household Income,Household Income,22,Median ($2017),74069.41
2000,Equivalized Household Income,Household Income,22,0-20%,0.0519
2000,Equivalized Household Income,Household Income,22,20-40%,0.0952
2000,Equivalized Household Income,Household Income,22,40-60%,0.1427
2000,Equivalized Household Income,Household Income,22,60-80%,0.2088
2000,Equivalized Household Income,Household Income,22,80-100%,0.5015
2000,Equivalized Household Income,Household Income,22,Top 1%,0.1245
2000,Equivalized Household Income,Household Income,22,Top 5%,0.2535
2000,Equivalized Household Income,Household Income,22,Bottom 5%,0.0059
2000,Equivalized Household Income,Household Income,22,Equivalied 90/10 Ratio,5.93
2000,Equivalized Household Income,Household Income,22,Equivalied 80/20 Ratio,3.24
2000,Equivalized Household Income,Household Income,22,Equivalied Gini,0.445
2000,Equivalized Personal Income,Personal income,1,Mean (Nominal),79672.85
2000,Equivalized Personal Income,Personal income,1,Mean ($2017),107925.63
2000,Equivalized Personal Income,Personal income,1,Median (Nominal),54819.29
2000,Equivalized Personal Income,Personal income,1,Median ($2017),74258.74
2000,Equivalized Personal Income,Personal income,1,0-20%,0.0516
2000,Equivalized Personal Income,Personal income,1,20-40%,0.0952
2000,Equivalized Personal Income,Personal income,1,40-60%,0.1427
2000,Equivalized Personal Income,Personal income,1,60-80%,0.2086
2000,Equivalized Personal Income,Personal income,1,80-100%,0.502
2000,Equivalized Personal Income,Personal income,1,Top 1%,0.1252
2000,Equivalized Personal Income,Personal income,1,Top 5%,0.2542
2000,Equivalized Personal Income,Personal income,1,Bottom 5%,0.0058
2000,Equivalized Personal Income,Personal income,1,Equivalied 90/10 Ratio,5.96
2000,Equivalized Personal Income,Personal income,1,Equivalied 80/20 Ratio,3.24
2000,Equivalized Personal Income,Personal income,1,Equivalied Gini,0.446
2000,Equivalized Disposable Personal Income,Disposable personal income,13,Mean (Nominal),68247.44
2000,Equivalized Disposable Personal Income,Disposable personal income,13,Mean ($2017),92448.64
2000,Equivalized Disposable Personal Income,Disposable personal income,13,Median (Nominal),50463.96
2000,Equivalized Disposable Personal Income,Disposable personal income,13,Median ($2017),68358.98
2000,Equivalized Disposable Personal Income,Disposable personal income,13,0-20%,0.059
2000,Equivalized Disposable Personal Income,Disposable personal income,13,20-40%,0.1063
2000,Equivalized Disposable Personal Income,Disposable personal income,13,40-60%,0.1528
2000,Equivalized Disposable Personal Income,Disposable personal income,13,60-80%,0.2143
2000,Equivalized Disposable Personal Income,Disposable personal income,13,80-100%,0.4676
2000,Equivalized Disposable Personal Income,Disposable personal income,13,Top 1%,0.1075
2000,Equivalized Disposable Personal Income,Disposable personal income,13,Top 5%,0.2245
2000,Equivalized Disposable Personal Income,Disposable personal income,13,Bottom 5%,0.0067
2000,Equivalized Disposable Personal Income,Disposable personal income,13,Equivalied 90/10 Ratio,5.07
2000,Equivalized Disposable Personal Income,Disposable personal income,13,Equivalied 80/20 Ratio,2.87
2000,Equivalized Disposable Personal Income,Disposable personal income,13,Equivalied Gini,0.404
2001,None,Compensation of employees,23,Total ($Billions),6038
